Tipo de estacion;Estacion;Ciudad;Tipo de carga;Horario;Direccion;Estandar Cargador;Ubicacion o sitio web;Coordenadas;Latitud;Longitud;;;
Estacion de carga electrica EPM;Sao Paulo;Medellin;Semi Rapida;8:00 am a 9:00 pm;Carrera 43 A Calle 18 SUR - 135, Medellin;Europeo- Mennekes 22 Kw-h;https://grupoepm.maps.arcgis.com/apps/webappviewer/index.html?id=8f59053e691a4218a3ce3565b15348e5;6.18487300,-75.57991110;6,184873;-75,5799111;;;
Estacion de carga electrica EPM;Sao Paulo;Medellin;Semi Rapida;8:00 am a 9:00 pm;Carrera 43 A Calle 18 SUR - 135, Medellin;J1772- 7,4 Kw-h;https://grupoepm.maps.arcgis.com/apps/webappviewer/index.html?id=8f59053e691a4218a3ce3565b15348e5;6.18487300,-75.57991110;6,184873;-75,5799111;;;
Estacion de carga electrica EPM;La Pintada;La Pintada;Rapida;12:00 pm a 11:59 pm;CL. 28 # 30 B - 24, Mall Rafael Uribe Uribe, La Pintada, Antioquia;CHAdeMO, CCS y AC tipo 2;https://grupoepm.maps.arcgis.com/apps/webappviewer/index.html?id=8f59053e691a4218a3ce3565b15348e5;5.74153784,-75.60598521;5,74153784;-75,60598521;;;
Estacion de carga electrica EPM;Los Alamos;Medellin;Rapida;12:00 pm a 11:59 pm;Carrera 52 # 65-07, La Candelaria, Medellin, La Candelaria;CHAdeMO, CCS y AC tipo 2;https://grupoepm.maps.arcgis.com/apps/webappviewer/index.html?id=8f59053e691a4218a3ce3565b15348e5;6.26297220,-75.56668900;6,2629722;-75,566689;;;
Estacion de carga electrica EPM;La Fe;El Retiro;Semi Rapida;12:00 pm a 11:59 pm;Mall laFE via las Palmas, km 28, Retiro, Antioquia;J1772- 7,4 Kw-h;https://grupoepm.maps.arcgis.com/apps/webappviewer/index.html?id=8f59053e691a4218a3ce3565b15348e5;6.09031580, -75.49305705;6,0903158;-75,49305705;;;
Estacion de carga electrica EPM;La Fe;El Retiro;Semi Rapida;12:00 pm a 11:59 pm;Mall laFE via las Palmas, km 28, Retiro, Antioquia;Europeo- Mennekes 22 Kw-h;https://grupoepm.maps.arcgis.com/apps/webappviewer/index.html?id=8f59053e691a4218a3ce3565b15348e5;6.09031580, -75.49305705;6,0903158;-75,49305705;;;
Estacion de carga electrica EPM;MAMM Ciudad del Rio;Medellin;Semi Rapida;12:00 pm a 11:59 pm;Carrera 44 N° 19A-100;Europeo- Mennekes 22 Kw-h;https://grupoepm.maps.arcgis.com/apps/webappviewer/index.html?id=8f59053e691a4218a3ce3565b15348e5;6.22400100,-75.57404400;6,224001;-75,574044;;;
Estacion de carga electrica EPM;MAMM Ciudad del Rio;Medellin;Semi Rapida;12:00 pm a 11:59 pm;Carrera 44 N° 19A-100;J1772- 7,4 Kw-h;https://grupoepm.maps.arcgis.com/apps/webappviewer/index.html?id=8f59053e691a4218a3ce3565b15348e5;6.22400100,-75.57404400;6,224001;-75,574044;;;
Estacion de carga electrica EPM;Oviedo;Medellin;Semi Rapida;8:00 am a 10:00 pm;CR 43 A CL 6 Sur - 15 (Interior 5000);J1772- 11 Kw-h;https://grupoepm.maps.arcgis.com/apps/webappviewer/index.html?id=8f59053e691a4218a3ce3565b15348e5;6.19907980,-75.57405890;6,1990798;-75,5740589;;;
Estacion de carga electrica EPM;Oviedo;Medellin;Semi Rapida;8:00 am a 10:00 pm;CR 43 A CL 6 Sur - 15 (Interior 5000);Europeo- Mennekes 22 Kw-h;https://grupoepm.maps.arcgis.com/apps/webappviewer/index.html?id=8f59053e691a4218a3ce3565b15348e5;6.19907980,-75.57405890;6,1990798;-75,5740589;;;
Estacion de carga electrica EPM;Tesoro 2;Medellin;Semi Rapida;8:00 am a 10:00 pm;Carrera 25 A # 1 A Sur – 45, Medellin, sotano 4 Plaza Palmas;J1772- 7,4 Kw-h;https://grupoepm.maps.arcgis.com/apps/webappviewer/index.html?id=8f59053e691a4218a3ce3565b15348e5;6.19669812,-75.55892548;6,19669812;-75,55892548;;;
Estacion de carga electrica EPM;Tesoro 2;Medellin;Semi Rapida;8:00 am a 10:00 pm;Carrera 25 A # 1 A Sur – 45, Medellin, sotano 4 Plaza Palmas;Europeo- Mennekes 22 Kw-h;https://grupoepm.maps.arcgis.com/apps/webappviewer/index.html?id=8f59053e691a4218a3ce3565b15348e5;6.19669812,-75.55892548;6,19669812;-75,55892548;;;
Estacion de carga electrica EPM;Nuestro Uraba;Apartado;Semi Rapida;8:00 am a 10:00 pm;Carrera 99 84 -18 Km 1 Vía Carepa;J1772- 7,4 Kw-h;https://grupoepm.maps.arcgis.com/apps/webappviewer/index.html?id=8f59053e691a4218a3ce3565b15348e5;7.87401680,-76.63507450;7,8740168;-76,6350745;;;
Estacion de carga electrica EPM;Nuestro Uraba;Apartado;Semi Rapida;8:00 am a 10:00 pm;Carrera 99 84 -18 Km 1 Vía Carepa;Europeo- Mennekes 22 Kw-h;https://grupoepm.maps.arcgis.com/apps/webappviewer/index.html?id=8f59053e691a4218a3ce3565b15348e5;7.87401680,-76.63507450;7,8740168;-76,6350745;;;
Estacion de gas natural vehicular;Caribe;Medellin;Informacion no disponible;24 horas;CR 64C # 72-226;Informacion no disponible;https://grupoepm.maps.arcgis.com/apps/MapTour/index.html?appid=60e834b97a5d4ddd9cce97d68f71d75a;6.27225, -75.57275;6,27225;-75,57275;;;
Estacion de gas natural vehicular;El Bosque;Medellin;Informacion no disponible;24 horas;CR 52 # 78-20;Informacion no disponible;https://grupoepm.maps.arcgis.com/apps/MapTour/index.html?appid=60e834b97a5d4ddd9cce97d68f71d75a;6.27346, -75.56461;6,27346;-75,56461;;;
Estacion de gas natural vehicular;Punto Cero;Medellin;Informacion no disponible;24 horas;DG 64E CL 67-405;Informacion no disponible;https://grupoepm.maps.arcgis.com/apps/MapTour/index.html?appid=60e834b97a5d4ddd9cce97d68f71d75a;6.26913, -75.57545;6,26913;-75,57545;;;
Estacion de gas natural vehicular;Exposiciones;Medellin;Informacion no disponible;24 horas;CL 36 # 53-67;Informacion no disponible;https://grupoepm.maps.arcgis.com/apps/MapTour/index.html?appid=60e834b97a5d4ddd9cce97d68f71d75a;6.23825, -75.57453;6,23825;-75,57453;;;
Estacion de gas natural vehicular;Bolivariana;Medellin;Informacion no disponible;24 horas;AV 33 # 66A-21;Informacion no disponible;https://grupoepm.maps.arcgis.com/apps/MapTour/index.html?appid=60e834b97a5d4ddd9cce97d68f71d75a;6.23937, -75.58659;6,23937;-75,58659;;;
Estacion de gas natural vehicular;La 30;Medellin;Informacion no disponible;6:00 am a 10:00 pm;CR 65 # 30-40;Informacion no disponible;https://grupoepm.maps.arcgis.com/apps/MapTour/index.html?appid=60e834b97a5d4ddd9cce97d68f71d75a;6.23240, -75.58206;6,2324;-75,58206;;;
Estacion de gas natural vehicular;Belaon;Medellin;Informacion no disponible;24 horas;CL 30A # 69C-11;Informacion no disponible;https://grupoepm.maps.arcgis.com/apps/MapTour/index.html?appid=60e834b97a5d4ddd9cce97d68f71d75a;6.23186, -75.59094;6,23186;-75,59094;;;
Estacion de gas natural vehicular;Mayorca;Sabaneta;Informacion no disponible;24 horas;CL 57 SUR # 48-25;Informacion no disponible;https://grupoepm.maps.arcgis.com/apps/MapTour/index.html?appid=60e834b97a5d4ddd9cce97d68f71d75a;6.15896, -75.60821;6,15896;-75,60821;;;
Estacion de gas natural vehicular;Aeropuerto JMC;Rionegro;Informacion no disponible;24 horas;Km 1 vía aeropuerto Rionegro - Medellin;Informacion no disponible;https://grupoepm.maps.arcgis.com/apps/MapTour/index.html?appid=60e834b97a5d4ddd9cce97d68f71d75a;6.17926, -75.44218;6,17926;-75,44218;;;
Estacion de gas natural vehicular;Navarra;Apartado;Informacion no disponible;24 horas;CR 100 # 73A-12;Informacion no disponible;https://grupoepm.maps.arcgis.com/apps/MapTour/index.html?appid=60e834b97a5d4ddd9cce97d68f71d75a;7.86733, -76.63592;7,86733;-76,63592;;;
Estacion de gas natural vehicular;Tasajera;Barbosa;Llenado Rapido;24 horas;Autopista Norte Km 23;Informacion no disponible;https://grupoepm.maps.arcgis.com/apps/MapTour/index.html?appid=60e834b97a5d4ddd9cce97d68f71d75a;6.40871, -75.41951;6,40871;-75,41951;;;
Estacion de gas natural vehicular;Universidad de Medellin;Medellin;Llenado Rapido;24 horas;CR 87 # 30-65;Informacion no disponible;https://grupoepm.maps.arcgis.com/apps/MapTour/index.html?appid=60e834b97a5d4ddd9cce97d68f71d75a;6.23110, -75.60859;6,2311;-75,60859;;;
